file,name,bytes,mb,mb_lbl
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/hierarchical_pymc3_10-1000-5__2.netcdf,hierarchical_pymc3_10-1000-5__2,569701471,569.701471,569 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/hierarchical_pymc3_10-1000-5__3.netcdf,hierarchical_pymc3_10-1000-5__3,557166797,557.166797,557 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/hierarchical_pymc3_10-1000-5__4.netcdf,hierarchical_pymc3_10-1000-5__4,564940815,564.940815,564 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/hierarchical_pymc3_10-1000-5__5.netcdf,hierarchical_pymc3_10-1000-5__5,558021266,558.021266,558 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/hierarchical_pymc3_10-1000-5__6.netcdf,hierarchical_pymc3_10-1000-5__6,566938214,566.938214,566 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/hierarchical_pymc3_10-1000-5__7.netcdf,hierarchical_pymc3_10-1000-5__7,549407304,549.407304,549 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/hierarchical_pymc3_10-1000-5__8.netcdf,hierarchical_pymc3_10-1000-5__8,558993312,558.993312,558 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/hierarchical_pymc3_10-1000-5__9.netcdf,hierarchical_pymc3_10-1000-5__9,550727928,550.727928,550 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/hierarchical_pymc3_10-10000-5.pkl,hierarchical_pymc3_10-10000-5,6403329432,6403.329432,6403 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/hierarchical_pymc3_10-10000-5__1.netcdf,hierarchical_pymc3_10-10000-5__1,5425479099,5425.479099,5425 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/hierarchical_pymc3_10-10000-5__10.netcdf,hierarchical_pymc3_10-10000-5__10,4701116838,4701.116838,4701 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/hierarchical_pymc3_10-10000-5__2.netcdf,hierarchical_pymc3_10-10000-5__2,4655673860,4655.67386,4655 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/hierarchical_pymc3_10-10000-5__3.netcdf,hierarchical_pymc3_10-10000-5__3,3025137749,3025.137749,3025 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/hierarchical_pymc3_10-10000-5__4.netcdf,hierarchical_pymc3_10-10000-5__4,4995399364,4995.399364,4995 MB
